"Start","Finish","Distance (mi)","Steps (count)"
"02-Jul-2016 00:00","03-Jul-2016 00:00","1.89014305324701","4744"
"03-Jul-2016 00:00","04-Jul-2016 00:00","1.77429715669648","4389"
"04-Jul-2016 00:00","05-Jul-2016 00:00","2.33334878507956","5837"
"05-Jul-2016 00:00","06-Jul-2016 00:00","1.58641848867364","3987.7247132791"
"06-Jul-2016 00:00","07-Jul-2016 00:00","3.28965021300097","8006.2752867209"
"07-Jul-2016 00:00","08-Jul-2016 00:00","3.94538071659838","8325"
"08-Jul-2016 00:00","09-Jul-2016 00:00","1.79223881949103","4721"
"09-Jul-2016 00:00","10-Jul-2016 00:00","4.36697078478594","10345"
"10-Jul-2016 00:00","11-Jul-2016 00:00","4.7842547635089","10071"
"11-Jul-2016 00:00","12-Jul-2016 00:00","3.00073982614249","6754"
"12-Jul-2016 00:00","13-Jul-2016 00:00","2.45515538130196","6088"
"13-Jul-2016 00:00","14-Jul-2016 00:00","2.58956794899806","6516"
"14-Jul-2016 00:00","15-Jul-2016 00:00","2.99318540314244","7818"
"15-Jul-2016 00:00","16-Jul-2016 00:00","3.90160767868347","10242"
"16-Jul-2016 00:00","17-Jul-2016 00:00","5.45244222347251","13883"
"17-Jul-2016 00:00","18-Jul-2016 00:00","4.88673645908155","10132"
"18-Jul-2016 00:00","19-Jul-2016 00:00","4.23505741431091","9265"
"19-Jul-2016 00:00","20-Jul-2016 00:00","2.52310074292433","5553"
"20-Jul-2016 00:00","21-Jul-2016 00:00","1.0874942139848","2809"
"21-Jul-2016 00:00","22-Jul-2016 00:00","2.49233650745227","5380"
"22-Jul-2016 00:00","23-Jul-2016 00:00","3.28363954472486","8472"
"23-Jul-2016 00:00","24-Jul-2016 00:00","4.31320494272484","9991"
"24-Jul-2016 00:00","25-Jul-2016 00:00","1.91393657053534","3846"
"25-Jul-2016 00:00","26-Jul-2016 00:00","1.19581461892242","2539"
"26-Jul-2016 00:00","27-Jul-2016 00:00","2.20553321603201","5475"
"27-Jul-2016 00:00","28-Jul-2016 00:00","3.13811640695801","7866"
"28-Jul-2016 00:00","29-Jul-2016 00:00","2.72115564205102","7264"
"29-Jul-2016 00:00","30-Jul-2016 00:00","2.68939164213151","6532"
"30-Jul-2016 00:00","31-Jul-2016 00:00","3.22405418086331","7808"
"31-Jul-2016 00:00","01-Aug-2016 00:00","0.0169137238525382","36"
"01-Aug-2016 00:00","02-Aug-2016 00:00","5.82807413378675","14987"
"02-Aug-2016 00:00","03-Aug-2016 00:00","1.20497059748685","2665"
"03-Aug-2016 00:00","04-Aug-2016 00:00","3.15463189807647","7249"
"04-Aug-2016 00:00","05-Aug-2016 00:00","0.892901258788186","2305"
"05-Aug-2016 00:00","06-Aug-2016 00:00","2.06205446417168","5361"
"06-Aug-2016 00:00","07-Aug-2016 00:00","4.51344745875679","12125"
"07-Aug-2016 00:00","08-Aug-2016 00:00","3.52988528793327","9369"
"08-Aug-2016 00:00","09-Aug-2016 00:00","1.09501249350626","2625"
"09-Aug-2016 00:00","10-Aug-2016 00:00","2.28018465341844","5476"
"10-Aug-2016 00:00","11-Aug-2016 00:00","3.53036448508591","9254"
"11-Aug-2016 00:00","12-Aug-2016 00:00","2.77090569394182","7253"
"12-Aug-2016 00:00","13-Aug-2016 00:00","2.16157476435942","5447"
"13-Aug-2016 00:00","14-Aug-2016 00:00","4.2929689389246","8425"
"14-Aug-2016 00:00","15-Aug-2016 00:00","1.87666026774899","4125"
"15-Aug-2016 00:00","16-Aug-2016 00:00","1.27086737224631","2902"
"16-Aug-2016 00:00","17-Aug-2016 00:00","5.09933794710288","11452"
"17-Aug-2016 00:00","18-Aug-2016 00:00","2.34566080266953","6018"
"18-Aug-2016 00:00","19-Aug-2016 00:00","2.32076559227588","6183"
"19-Aug-2016 00:00","20-Aug-2016 00:00","3.31139328339255","8507"
"20-Aug-2016 00:00","21-Aug-2016 00:00","1.82314095208045","4754"
"21-Aug-2016 00:00","22-Aug-2016 00:00","2.40646148907288","6845"
"22-Aug-2016 00:00","23-Aug-2016 00:00","0.883371402670143","2071"
"23-Aug-2016 00:00","24-Aug-2016 00:00","4.39751557474705","10270"
"24-Aug-2016 00:00","25-Aug-2016 00:00","3.5195252281234","7820"
"25-Aug-2016 00:00","26-Aug-2016 00:00","6.35933138613015","14885"
"26-Aug-2016 00:00","27-Aug-2016 00:00","4.87424650033421","11046"
"27-Aug-2016 00:00","28-Aug-2016 00:00","4.86180061888527","11079"
"28-Aug-2016 00:00","29-Aug-2016 00:00","2.45982907024485","5333"
"29-Aug-2016 00:00","30-Aug-2016 00:00","2.55774934487543","6338"
"30-Aug-2016 00:00","31-Aug-2016 00:00","3.46944203006464","8532"
"31-Aug-2016 00:00","01-Sep-2016 00:00","2.39981923153368","6033"
"01-Sep-2016 00:00","02-Sep-2016 00:00","4.17210267650287","10781"
"02-Sep-2016 00:00","03-Sep-2016 00:00","2.61933262164448","5503"
"03-Sep-2016 00:00","04-Sep-2016 00:00","3.30143974026765","6764"
"04-Sep-2016 00:00","05-Sep-2016 00:00","2.90344966548857","5942"
"05-Sep-2016 00:00","06-Sep-2016 00:00","2.65214148753181","6728"
"06-Sep-2016 00:00","07-Sep-2016 00:00","2.69067819857205","6702"
"07-Sep-2016 00:00","08-Sep-2016 00:00","2.67728311974891","6629"
"08-Sep-2016 00:00","09-Sep-2016 00:00","3.58253886111914","8584"
"09-Sep-2016 00:00","10-Sep-2016 00:00","1.63470266177941","4115"
"10-Sep-2016 00:00","11-Sep-2016 00:00","2.70992351245601","7409"
"11-Sep-2016 00:00","12-Sep-2016 00:00","3.37959324647537","8595"
"12-Sep-2016 00:00","13-Sep-2016 00:00","7.10085074397911","15855"
"13-Sep-2016 00:00","14-Sep-2016 00:00","3.8455073667851","9333"
"14-Sep-2016 00:00","15-Sep-2016 00:00","3.58182711095968","8877"
"15-Sep-2016 00:00","16-Sep-2016 00:00","2.85500767131597","8303"
"16-Sep-2016 00:00","17-Sep-2016 00:00","4.72847905623972","12808"
"17-Sep-2016 00:00","18-Sep-2016 00:00","4.27767536781946","12281"
"18-Sep-2016 00:00","19-Sep-2016 00:00","1.03525222055098","2735"
"19-Sep-2016 00:00","20-Sep-2016 00:00","2.7700197705097","7831"
"20-Sep-2016 00:00","21-Sep-2016 00:00","2.02901272142335","5099"
"21-Sep-2016 00:00","22-Sep-2016 00:00","3.6143888882856","10157"
"22-Sep-2016 00:00","23-Sep-2016 00:00","5.62992031193737","14687"
"23-Sep-2016 00:00","24-Sep-2016 00:00","3.02641084473915","7847"
"24-Sep-2016 00:00","25-Sep-2016 00:00","4.04938938197174","11054"
"25-Sep-2016 00:00","26-Sep-2016 00:00","4.87209091548831","13982"
"26-Sep-2016 00:00","27-Sep-2016 00:00","1.38764311715613","4024"
"27-Sep-2016 00:00","28-Sep-2016 00:00","3.48014011516001","9452"
"28-Sep-2016 00:00","29-Sep-2016 00:00","5.15510400202233","14110"
"29-Sep-2016 00:00","30-Sep-2016 00:00","3.07708137056137","8228"
"30-Sep-2016 00:00","01-Oct-2016 00:00","3.53054081088173","9093"
"01-Oct-2016 00:00","02-Oct-2016 00:00","0.936256765113842","2794"
"02-Oct-2016 00:00","03-Oct-2016 00:00","3.05102180630015","8557"
"03-Oct-2016 00:00","04-Oct-2016 00:00","2.6784237245873","7187"
"04-Oct-2016 00:00","05-Oct-2016 00:00","1.70029585611588","3719"
"05-Oct-2016 00:00","06-Oct-2016 00:00","2.94480307136338","8353"
"06-Oct-2016 00:00","07-Oct-2016 00:00","4.83151220323739","13522"
"07-Oct-2016 00:00","08-Oct-2016 00:00","3.22501232573774","9058"
"08-Oct-2016 00:00","09-Oct-2016 00:00","1.20448766908043","3393"
"09-Oct-2016 00:00","10-Oct-2016 00:00","1.0555664571344","2669"
"10-Oct-2016 00:00","11-Oct-2016 00:00","1.48925842780292","4348.16332363285"
"11-Oct-2016 00:00","12-Oct-2016 00:00","3.41297244295166","9068.83667636715"
"12-Oct-2016 00:00","13-Oct-2016 00:00","2.88905221650328","7801"
"13-Oct-2016 00:00","14-Oct-2016 00:00","3.02996142299456","7714"
"14-Oct-2016 00:00","15-Oct-2016 00:00","4.59680809292864","12698.2014234406"
"15-Oct-2016 00:00","16-Oct-2016 00:00","3.66919031982721","10117.7985765594"
"16-Oct-2016 00:00","17-Oct-2016 00:00","1.33180506529756","4007"
"17-Oct-2016 00:00","18-Oct-2016 00:00","1.45393723655142","3606"
"18-Oct-2016 00:00","19-Oct-2016 00:00","2.56770852002757","6458"
"19-Oct-2016 00:00","20-Oct-2016 00:00","3.62894120773162","10301.9333188309"
"20-Oct-2016 00:00","21-Oct-2016 00:00","3.79891776756408","11361.0666811691"
"21-Oct-2016 00:00","22-Oct-2016 00:00","2.61577940437413","6268"
"22-Oct-2016 00:00","23-Oct-2016 00:00","2.75336495477127","7530"
"23-Oct-2016 00:00","24-Oct-2016 00:00","0.981677341690979","2268"
"24-Oct-2016 00:00","25-Oct-2016 00:00","2.25618621408999","5532"
"25-Oct-2016 00:00","26-Oct-2016 00:00","2.4077411607194","6135"
"26-Oct-2016 00:00","27-Oct-2016 00:00","2.01600492324986","5044"
"27-Oct-2016 00:00","28-Oct-2016 00:00","1.46024480871388","4217"
"28-Oct-2016 00:00","29-Oct-2016 00:00","4.6069367102141","12545"
"29-Oct-2016 00:00","30-Oct-2016 00:00","3.14924521710422","9191"
"30-Oct-2016 00:00","31-Oct-2016 00:00","2.12935598900717","5992"
"31-Oct-2016 00:00","01-Nov-2016 00:00","1.85825080323266","5036"
"01-Nov-2016 00:00","02-Nov-2016 00:00","3.11272841447317","8138"
"02-Nov-2016 00:00","03-Nov-2016 00:00","1.70282734270642","3958"
"03-Nov-2016 00:00","04-Nov-2016 00:00","3.16012684875835","7478"
"04-Nov-2016 00:00","05-Nov-2016 00:00","1.47726013212942","3655"
"05-Nov-2016 00:00","06-Nov-2016 00:00","4.44140930855355","11524"
"06-Nov-2016 00:00","07-Nov-2016 00:00","2.4352020991295","6095"
"07-Nov-2016 00:00","08-Nov-2016 00:00","2.61496311012202","6384"
"08-Nov-2016 00:00","09-Nov-2016 00:00","3.0190787204101","7739"
"09-Nov-2016 00:00","10-Nov-2016 00:00","0.53535792160927","1514"
"10-Nov-2016 00:00","11-Nov-2016 00:00","2.4629319312707","5966"
"11-Nov-2016 00:00","12-Nov-2016 00:00","2.44200534496491","6094"
"12-Nov-2016 00:00","13-Nov-2016 00:00","4.3141610516523","10366"
"13-Nov-2016 00:00","14-Nov-2016 00:00","3.56817996736236","9047"
"14-Nov-2016 00:00","15-Nov-2016 00:00","2.25491676633085","5884"
"15-Nov-2016 00:00","16-Nov-2016 00:00","0.820610133112955","2131"
"16-Nov-2016 00:00","17-Nov-2016 00:00","1.18383396979815","3109"
"17-Nov-2016 00:00","18-Nov-2016 00:00","1.61502759924681","4592"
"18-Nov-2016 00:00","19-Nov-2016 00:00","1.99944118628972","5621"
"19-Nov-2016 00:00","20-Nov-2016 00:00","2.95107100490012","7540"
"20-Nov-2016 00:00","21-Nov-2016 00:00","3.87823052656298","11106"
"21-Nov-2016 00:00","22-Nov-2016 00:00","0.965760394287136","2520"
"22-Nov-2016 00:00","23-Nov-2016 00:00","3.24150414638399","8059"
"23-Nov-2016 00:00","24-Nov-2016 00:00","2.0921760384217","5252"
"24-Nov-2016 00:00","25-Nov-2016 00:00","2.54607975917248","7183"
"25-Nov-2016 00:00","26-Nov-2016 00:00","3.51178724861852","10103"
"26-Nov-2016 00:00","27-Nov-2016 00:00","2.9528134647948","8300"
