Datum,Stampfenbachstrasse_PM10,Schimmelstrasse_PM10,Rosengartenstrasse_PM10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014-08-25,13.54,12.28,17.28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014-08-26,13.27,7.47,14.25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014-08-27,7.7,9.51,11.55,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014-08-28,14.67,16.45,16.03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014-08-29,17.68,16.26,41.49,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014-08-30,9.9,12.16,11.56,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014-08-31,13.13,9.68,11.76,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014-09-01,11.65,11.8,13.29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014-09-02,11.16,13.05,16.21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014-09-03,11.28,13.49,12.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014-09-04,15.48,16.14,18.15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014-09-05,22.05,23.05,21.31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014-09-06,21.64,18.75,21.04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014-09-07,23.27,18.9,20.79,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014-09-08,25.57,22.5,30.03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014-09-09,20.36,23.37,23.16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014-09-10,22.55,23.53,23.91,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014-09-11,17.18,19.86,18.31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014-09-12,10.66,12.04,12.77,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014-09-13,10.17,8.98,10.81,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014-09-14,NaN,12.61,13.16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
